ID,Name,Price
3192,Samsung Galaxy On6 (Blue 64 GB),11990
3193,Samsung Galaxy J6 (Blue 64 GB),11990
3194,Samsung Galaxy A10 (Blue 32 GB),7990
3195,Samsung Guru 1200,1100
3196,Samsung Guru Music 2,1625
3197,Samsung Guru 1200,1100
3198,Samsung Galaxy A30 (Red 64 GB),15490
3199,Samsung Galaxy A20 (Red 32 GB),11490
3200,Samsung Guru Music 2,1625
3201,Samsung Guru 1200,1100
3202,Samsung Galaxy On Nxt (Gold 64 GB),10990
3203,Samsung Guru FM Plus SM-B110E/D,1375
3204,Samsung Guru Music 2,1625
3205,Samsung Guru 1200,1100
3206,Samsung Galaxy J6 (Gold 64 GB),11990
3207,Samsung Guru FM Plus SM-B110E/D,1375
3208,Samsung Galaxy On Nxt (Black 64 GB),10990
3209,Samsung Guru FM Plus,1375
3210,Samsung Galaxy A50 (Blue 64 GB),22990
3211,Samsung Metro 313 Dual Sim,2025
3212,Samsung B351E/Metro 350,2800
3213,Samsung Metro 313 Dual Sim,2025
3214,Samsung Galaxy On Max (Gold 32 GB),10990
3215,Samsung B351E/Metro 350,2800
3216,Samsung Galaxy On6 (Blue 64 GB),11990
3217,Samsung Galaxy J6 (Blue 64 GB),11990
3218,Samsung Galaxy A10 (Blue 32 GB),7990
3219,Samsung Guru 1200,1100
3220,Samsung Guru Music 2,1625
3221,Samsung Guru 1200,1100
3222,Samsung Galaxy A30 (Red 64 GB),15490
3223,Samsung Galaxy A20 (Red 32 GB),11490
3224,Samsung Guru Music 2,1625
3225,Samsung Guru 1200,1100
3226,Samsung Galaxy On Nxt (Gold 64 GB),10990
3227,Samsung Guru FM Plus SM-B110E/D,1375
3228,Samsung Guru Music 2,1625
3229,Samsung Guru 1200,1100
3230,Samsung Galaxy J6 (Gold 64 GB),11990
3231,Samsung Guru FM Plus SM-B110E/D,1375
3232,Samsung Galaxy On Nxt (Black 64 GB),10990
3233,Samsung Guru FM Plus,1375
3234,Samsung Galaxy A50 (Blue 64 GB),22990
3235,Samsung Metro 313 Dual Sim,2025
3236,Samsung B351E/Metro 350,2800
3237,Samsung Metro 313 Dual Sim,2025
3238,Samsung Galaxy On Max (Gold 32 GB),10990
3239,Samsung B351E/Metro 350,2800
3240,Samsung Galaxy On6 (Blue 64 GB),11990
3241,Samsung Galaxy J6 (Blue 64 GB),11990
3242,Samsung Galaxy A10 (Blue 32 GB),7990
3243,Samsung Guru 1200,1100
3244,Samsung Guru Music 2,1625
3245,Samsung Guru 1200,1100
3246,Samsung Galaxy A30 (Red 64 GB),15490
3247,Samsung Galaxy A20 (Red 32 GB),11490
3248,Samsung Guru Music 2,1625
3249,Samsung Guru 1200,1100
3250,Samsung Galaxy On Nxt (Gold 64 GB),10990
3251,Samsung Guru FM Plus SM-B110E/D,1375
3252,Samsung Guru Music 2,1625
3253,Samsung Guru 1200,1100
3254,Samsung Galaxy J6 (Gold 64 GB),11990
3255,Samsung Guru FM Plus SM-B110E/D,1375
3256,Samsung Galaxy On Nxt (Black 64 GB),10990
3257,Samsung Guru FM Plus,1375
3258,Samsung Galaxy A50 (Blue 64 GB),22990
3259,Samsung Metro 313 Dual Sim,2025
3260,Samsung B351E/Metro 350,2800
3261,Samsung Metro 313 Dual Sim,2025
3262,Samsung Galaxy On Max (Gold 32 GB),10990
